Route Code (CAPS),Description,Route Code (Basware)
DEGSBATSOL,"SolNCPower5, LLC (Battleboro)",BATLSOL
DEGSBRDRVR,Broad River Solar,BDRVSOL
N/A,BIGBSERV - BASWARE: Big Blue Wind Farm (75736:CFST),BIGBSERV
DEGSBLKMSA,BLACK MESA SOLAR,BLKMSOL
DEGSLGBOAT,"Longboat Solar, LLC",BOATSOL
DEGSCAPRK1,"Caprock Solar 1, LLC",CAP1SOL
DEGSCFST,Central Services Field Services,CFSTSERV
DEGSCGBT,Central Services Gearbox Team,CGBTSERV
DEGSCLCT,Central Services Large Corrective,CLCTSERV
DEGSWDOPLH,"Laurel Hill Wind Energy, LLC",CLHWWND
DEGSWDOPCM,Cimarron Windpower II,CM2WWND
DEGSCONSOL,"Conetoe II Solar, LLC",CONESOL
DEGSCRESOL,"Creswell Alligood Solar, LLC",CRESSOL
DEGSREAZHL,RE Ajo 1 LLC (Ajo),DAJ1SOL
DEGSASTROS,"Gato Montes Solar, LLC",DATPSOL
DEGSBLKMTN,"Black Mountain Solar, LLC",DBMSSOL
DEGSBLADE,Deriva Blade Maintenance Team,DBMTSERV
DEGSBPSOLR,Bethel Price Solar,DBPSSOL
DEGSCSMURP,"CS Murphy Point, LLC (Wingate)",DCSMSOL
DEGSDOGWDS,"Dogwood Solar, LLC",DDWSSOL
DEGSRCIDSO,Walt Disney World Solar,DISNSERV
DEGSMRNCR,"Martin's Creek Solar NC, LLC",DMCSSOL
DEGSMURFRM,"Murphy's Farm Power, LLC",DMFPSOL
DEGSDTE,RENEWABLE SERVICES - DTE,DMSTSERV
DEGSNCRENW,"North Carolina Renewable Properties, LLC (Holiness)",DNCRSOL
DEGSOUTLAN,"Duke Energy Renewable Services, LLC",DOESSERV
DEGSRPORLN,"RP-Orlando, LLC (OUC)",DRPOSOL
DEGSSFCTY1,"RE SFCITY 1, LP (Sunset Reservoir)",DSFLSOL
DEGSSOLAR,DER SOLAR,DSOPCORP
DEGSSLSTR2,"Solar Star North Carolina II, LLC (Murfreesboro)",DSS2SOL
DEGSBUSDEV,DEGS Business Development,DSSOCORP
DEGSCORP,DER Corporate,DSSOCORP
DEGSDWCC,Renewable Control Center,DSSOCORP
DEGSENG,DEGS Engineering,DSSOCORP
DEGSENSTOR,DE Renewables Energy Storage,DSSOCORP
DEGSWIND,,DSSOCORP
DEGSTAYLRV,"Taylorsville, LLC",DTAYSOL
DEGSWCHSOL,"Windsor Cooper Hill Solar, LLC",DWCHSOL
DEGSWMSOLR,Washington Millfield Solar LLC,DWMSSOL
DEGSWDOPME,Mesteno Wind,DWOPCORP
DEGSWWPSOL,"Washington White Post Solar, LLC",DWPSSOL
DEGSWWASOL,"Washington Airport Solar, LLC",DWWASOL
DEGSEBSLSO,East Blackland Solar - Pflugerville,EBSLSOL
DEGSEVESOL,Everetts Wildcats Solar LLC,EVERSOL
DEGSWDOPF2,"Frontier Windpower II, LLC",FRN2WND
DEGSFRNKSO,Franklin Solar,FRNKSOL
DEGSWDOPFR,"Frontier Windpower I, LLC",FRONWND
DEGSGARYSB,"Garysburg Solar, LLC",GARYSOL
DEGSGASTSO,"Gaston Solar, LLC",GASTSOL
DEGSHERTSO,"SoINCPower10, LLC (aka Hertford)",HERTSOL
DEGSHFAXSO,HXOap Solar one (Halifax),HFAXSOL
DEGSHIGHS1,"Highlander Solar 1, LLC",HIS1SOL
DEGSHIGHS2,"Highlander Solar 2, LLC",HIS2SOL
