Company ID,Company Description,Location,Location Description,Segment,"""Main"" Dept",Dept Name
75865,"Laurel Hill Wind Energy, LLC",CLHW,"Laurel Hill Wind Energy, LLC",Wind,8109,Operations Wind Team 5
75679,"Cimarron Windpower II, LLC",CM2W,"Cimarron Windpower II, LLC",Wind,8108,Operations Wind Team 4
75880,"Frontier Windpower II, LLC",FRN2,"Frontier Windpower II, LLC",Wind,8113,Operations Wind Team 9
75824,"Frontier Windpower, LLC",FRON,"Frontier Windpower, LLC",Wind,8113,Operations Wind Team 9
75753,"Happy Jack Windpower, LLC",HJKW,"Happy Jack Windpower, LLC",Wind,8105,Operations Wind Team 1
75676,"Ironwood Windpower, LLC",IWWP,"Ironwood Windpower, LLC",Wind,8108,Operations Wind Team 4
75767,"Kit Carson Windpower, LLC",KCWP,"Kit Carson Windpower, LLC",Wind,8108,Operations Wind Team 4
75940,"Ledyard Windpower, LLC",LEDY,"Ledyard Windpower, LLC",Wind,8114,Operations Wind Team 10
75668,"Los Vientos Windpower III, LLC",LV03,"Los Vientos Windpower III, LLC",Wind,8112,Operations Wind Team 8
75801,"Los Vientos Windpower IV, LLC",LV04,"Los Vientos Windpower IV, LLC",Wind,8112,Operations Wind Team 8
75808,"Los Vientos Windpower V, LLC",LV05,"Los Vientos Windpower V, LLC",Wind,8112,Operations Wind Team 8
75683,"Los Vientos Windpower IA, LLC",LV1A,"Los Vientos Windpower IA, LLC",Wind,8111,Operations Wind Team 7
75723,"Los Vientos Windpower IB, LLC",LV1B,"Los Vientos Windpower IB, LLC",Wind,8111,Operations Wind Team 7
75798,"Maryneal Windpower, LLC",MARY,"Maryneal Windpower, LLC",Wind,8107,Operations Wind Team 3
75816,Mesquite Creek Wind LLC,MESQ,Mesquite Creek Wind LLC,Wind,8107,Operations Wind Team 3
75766,"North Allegheny Wind, LLC",NAWD,"North Allegheny Wind, LLC",Wind,8109,Operations Wind Team 5
75755,"Notrees Windpower, LP",NTBA,Notrees Battery,Wind,8107,Operations Wind Team 3
75755,"Notrees Windpower, LP",NTRW,Notrees Windpower,Wind,8107,Operations Wind Team 3
75715,"Shirley Wind, LLC",SHRW,"Shirley Wind, LLC",Wind,8109,Operations Wind Team 5
75763,"Silver Sage Windpower, LLC",SLSG,"Silver Sage Windpower, LLC",Wind,8105,Operations Wind Team 1
75764,"Three Buttes Windpower, LLC",TBWP,"Three Buttes Windpower, LLC",Wind,8105,Operations Wind Team 1
