LOCATION,LOCATION NAME,COMPANY,PROJECT_ID,NAME,DESCRIPTION,ACTIVITY_SEQ,PLAN_START,PLAN_FINISH,PROGRAM_ID,ACTIVITY_NO,DESCRIPTION,PROJECT_ACTIVITY,,Project (NS),Activity (NS),Activity Desc(NS)
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25B001,BoP: Elec BoP: Corrective,BoP: Elec BoP: Corrective,100021189,1/1/2025,3/31/2026,OM,10,General,PPJK25B001.100.10,2025 load addition,PPJKOM,OM502,OM - BoP: Elec BoP: Corrective
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25B002,BoP: Elec BoP: Preventative,BoP: Elec BoP: Preventative,100021275,1/1/2025,3/31/2026,OM,10,General,PPJK25B002.100.10,2025 load addition,PPJKOM,OM501,OM - BoP: Elec BoP: Preventative
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25B003,BoP: Met Mast/Met Station BoP,BoP: Met Mast/Met Station BoP,100021368,1/1/2025,3/31/2026,OM,10,General,PPJK25B003.100.10,2025 load addition,PPJKOM,OM503,OM - BoP: Met Mast/Met Station BoP
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25B004,BoP: Vegetation Management ,BoP: Vegetation Management ,100021442,1/1/2025,3/31/2026,OM,10,General,PPJK25B004.100.10,2025 load addition,PPJKOM,OM504,OM - BoP: Vegetation Management 
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25B005,BoP: Civil BoP,BoP: Civil BoP,100021098,1/1/2025,3/31/2026,OM,10,General,PPJK25B005.100.10,2025 load addition,PPJKOM,OM505,OM - BoP: Civil BoP
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G002,Preventative Mntce: Site Non-Tech,Preventative Mntce: Site Non-Tech,100021820,1/1/2025,3/31/2026,OM,10,General,PPJK25G002.100.10,2025 load addition,PPJKOM,OM202,OM - Preventative Mntce: Site Non-Tech
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G005,Solar O&M: Minor Corrective,Solar O&M: Minor Corrective,100021757,1/1/2025,3/31/2026,OM,10,General,PPJK25G005.100.10,2025 load addition,PPJKOM,OM203,OM - Solar OM: Minor Corrective
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G006,Preventative Mntce: Site ,Preventative Mntce: Site ,100021897,1/1/2025,3/31/2026,OM,10,General,PPJK25G006.100.10,2025 load addition,PPJKOM,OM201,OM - Preventative Mntce: Site 
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G007,Ops Support: Site Specific,Ops Support: Site Specific,100022461,1/1/2025,3/31/2026,OM,10,General,PPJK25G007.100.10,2025 load addition,PPJKOM,OM710,OM - Ops Support: Site Specific
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G008,Issuance Fee,Issuance Fee,100022568,1/1/2025,3/31/2026,OM,10,General,PPJK25G008.100.10,2025 load addition,PPJKOM,OM706,OM - Issuance Fee
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G009,Community Benefit,Community Benefit,100022668,1/1/2025,3/31/2026,OM,10,General,PPJK25G009.100.10,2025 load addition,PPJKOM,OM701,OM - Community Benefit
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G010,NERC Compliance,NERC Compliance,100023169,1/1/2025,3/31/2026,OM,10,General,PPJK25G010.100.10,2025 load addition,PPJKOM,OM709,OM - NERC Compliance
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G011,Environmental Compliance,Environmental Compliance,100022756,1/1/2025,3/31/2026,OM,10,General,PPJK25G011.100.10,2025 load addition,PPJKOM,OM702,OM - Environmental Compliance
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G012,Facilities,Facilities,100022845,1/1/2025,3/31/2026,OM,10,General,PPJK25G012.100.10,2025 load addition,PPJKOM,OM703,OM - Facilities
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G013,IT,Information Technology,100023025,1/1/2025,3/31/2026,OM,10,General,PPJK25G013.100.10,2025 load addition,PPJKOM,OM704,OM - Information Technology
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G014,Light & Heat,Light & Heat,100023118,1/1/2025,3/31/2026,OM,10,General,PPJK25G014.100.10,2025 load addition,PPJKOM,OM708,OM - Light & Heat
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G015,Interconnection Fees,Interconnection Fees,100022941,1/1/2025,3/31/2026,OM,10,General,PPJK25G015.100.10,2025 load addition,PPJKOM,OM705,OM - Interconnection Fees
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G016,Waste Management,Waste Management,100023426,1/1/2025,3/31/2026,OM,10,General,PPJK25G016.100.10,2025 load addition,PPJKOM,OM712,OM - Waste Management
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G017,Site Security,Site Security,100023250,1/1/2025,3/31/2026,OM,10,General,PPJK25G017.100.10,2025 load addition,PPJKOM,OM711,OM - Site Security
PPJK,"Pumpjack Solar I, LLC",75550,PPJK25G018,IT: Telecoms,IT: Telecoms,100023334,1/1/2025,3/31/2026,OM,10,General,PPJK25G018.100.10,2025 load addition,PPJKOM,OM707,OM - IT: Telecoms
