Description,Oper Unit,Bus Unit,Resp Center,Account,Resource Type,Process ID,Project ,Activity,,Company ID,Location,Department,Project,Expense Type,Account,Account Name
Salaries & Bonus,DSOL,75736,HW58,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,DSOL,75736,HW58,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,Cellular Service (PMD),513105,Telecom - Cellular Service
Training,DSOL,75736,HW58,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,Employee Training,517501,Employee Training
Travel,DSOL,75736,HW58,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,Other Transportation,517100,Transportation - Other
Parking,DSOL,75736,HW58,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,Parking,517102,Transportation - Tolls and Parking
Conferences,DSOL,75736,HW58,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Membership,DSOL,75736,HW58,0921100,49002,MEMDUES,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,Memberships,517600,Memberships
Conferences,DSOL,75736,HW58,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Contractors,DSOL,75736,HW58,0923000,69000,CONTLAB,,,,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,,515220,Consultant- Staff Augmentation
Salaries & Bonus,DSOL,75736,HW59,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,DSOL,75736,HW59,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,Cellular Service (PMD),513105,Telecom - Cellular Service
Training,DSOL,75736,HW59,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,Employee Training,517501,Employee Training
Travel,DSOL,75736,HW59,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,Other Transportation,517100,Transportation - Other
Parking,DSOL,75736,HW59,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,Parking,517102,Transportation - Tolls and Parking
Conferences,DSOL,75736,HW59,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Membership,DSOL,75736,HW59,0921100,49002,MEMDUES,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,Memberships,517600,Memberships
Conferences,DSOL,75736,HW59,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Contractors,DSOL,75736,HW59,0923000,69000,CONTLAB,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,,515220,Consultant- Staff Augmentation
Bank Fees,DSOL,75736,HW59,0930200,34001,BANKFEE,,,,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,,513600,Bank charges & fees
Salaries & Bonus,DSOL,75736,HW60,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,DSOL,75736,HW60,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,Cellular Service (PMD),513105,Telecom - Cellular Service
Training,DSOL,75736,HW60,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,Employee Training,517501,Employee Training
Travel,DSOL,75736,HW60,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,Other Transportation,517100,Transportation - Other
Parking,DSOL,75736,HW60,0921100,40000,TRVLEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,Parking,517102,Transportation - Tolls and Parking
Conferences,DSOL,75736,HW60,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Membership,DSOL,75736,HW60,0921100,49002,MEMDUES,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,Memberships,517600,Memberships
Conferences,DSOL,75736,HW60,0921100,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,Conferences and Seminars,517400,Conferences and Seminars
Contractors,DSOL,75736,HW60,0923000,69000,CONTLAB,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,,515220,Consultant- Staff Augmentation
Tax Compliance - KPMG,DSOL,75736,HW60,0903200,69500,OTHTAX,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,,515313,Tax Advisory Services
Tax Consulting - Ad hoc,DSOL,75736,HW60,0903200,69700,OTHTAX,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,,515214,Consultant Taxes
BNA Fixed Asset,DSOL,75736,HW60,0920000,69700,OSSERIN,,,,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,,515216,Consultant Information Technology
Salaries and Wages ,DSOL,75736,HW61,0920000,11000,SALARY,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,DSOL,75736,HW61,0921100,40007,EMPEXP,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,Cellular Service (PMD),513105,Telecom - Cellular Service
Training,DSOL,75736,HW61,0921200,30000,TRNGSEM,,,,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,Employee Training,517501,Employee Training
