 O&M Charging Guidelines ,,,,,,,
SUPPORT TEAMS,,,,,,,
"HW01 - DER/RRE Site Plng, Del, & Supt",,HW10 - Modeling & Adv Analytics,,HW12 - Comm Rnw Sales DEBS,,,
HW15 - Comm Power Accounting,,HW18 - EHS,,HW20 - Development,,,
HW22 - Operational Excellence,,HW23 – Renewables Control Center,,HW24 - Mgmt Svcs & Business Perform,,,
HW32 - Technical Services,,HW40 - Material Management,,HW42 - Operations Administration,,,
HW43 - Performance Services,,HW44 - Asset Standardization,,,,,
,,,,,,,
OU Name,,OU,,BU,,,
Wind Ops Admin,,DWOP,,75752,,,
Solar Ops Admin,,DSOP,,75748,,,
Renewables OU's (not under Operations):,,,,,,,
Renewables G&A,,DSOL,,75736,,,
Wind Development,,DWE1,,75752,,,
Solar Development,,DCS4,,75748,,,
"Refer to next page for site-specific Wind, Solar, and Third-Party BU's/OU's (always use your home RC)",,,,,,,
"BU Key:  75752-Duke Energy Renewables Wind, LLC, 75748-Duke Energy Renewables Solar, LLC, 75736-Duke Energy Renewable Services, LLC",,,,,,,
,,,,,,,
RESOURCE TYPES,,,,,,,
Direct Material/Inventory Cost,21000,Meals & Entertainment,41000,Other Contracts,69500,,
Direct Purchases,30000,Personal Mileage,42000,Consultant,69700,,
Direct Material Purchases,31000,Relocation Expenses*,44000,Property Insurance,71000,,
Office Supplies & Expenses,33000,Dues/Memberships,49002,Liability Insurance,71002,,
Postage & Freight,33001,Vehicle Expenses,50000,Workers Compensation,71004,,
Computer Hardware,36000,Rent/Leases/Meeting Rooms,60007,Insurance - Other,71005,,
Computer Software,36001,Other Real Property Leases,65002,Sponsorships,94029,,
Software Maintenance,36002,Telephone/Internet,66001,Safety/Service Awards,1B310,,
Computer Software Leases,36004,Utilities,66002,Tuition-Graduate,1B411,,
Travel Expenses,40000,Staff Augmentation/Contingent Workers,69000,Tuition-Undergraduate,1B410,,
Air Travel,40001,Contract Labor,69100,Donations,1B418,,
Per Diem,40004,Turnkey Service Contract Labor,69400,Spot Bonus (Excep Contrib Award),15001,,
Personal Mobile Device Program,40007,,,,,,
,,,,,,,
PROCESS CODES,,,,,,,
Labor,SALARY,Employee Expenses (Travel & PMD),EMPEXP,Publications/Subscriptions,SUBSCRP,,
Administration,ADMIN,Employee Recognition,EMPLREC,Relocation*,RELOC,,
Bonus (Exceptional Contrib Award),BONUSEX,Insurance,INSOOPS,Rent,RENT,,
Charitable Donations,DONATE,Interviewing Expenses,INTRVIE,Safety Expenses/Awards,SAFETYX,,
Computer Hardware,ITHARD,Inventory Parts/Plant,INVNT,Training & Seminars,TRNGSEM,,
Computer Software,ITSOFT,Membership Dues,MEMDUES,Utilities,UTILSOU,,
Consultants & Outside Services,OSSERIN,Tooling Purchases,TOOLPUR,Vehicle Charges,VEHLSE,,
