Operations O&M Charging Guidelines,,,,,,,,,,,,
WIND SITES and CENTRAL SERVICES WIND SITE SUPPORT,,,,,,,,,,,,
Description,Account,Resource Type,"Process ID
*INFORMATIONAL ONLY",Additional Guidance,Account #,Account Name,"Project Code
XXXX = Site Location Code",Category,Sub Category,Account Group,,
Preventative Maintenance,,,,,,,,,,,,
Labor - Site (Deriva FTE's),0920000,11000,OPSLAB,Site Technicians ,512101,Salaries and Wages - Regular Hours - Salaried,XXXX25G006, Turbine O&M ,Preventative Maintenance,Salary & Wages,,
,,,AGLAB,Site ARRC's,512101,Salaries and Wages - Regular Hours - Salaried,XXXX25G002, Turbine O&M ,Preventative Maintenance,Salary & Wages,,
,,,SALARY,"Site Area Managers, Planner/Schedulers, Supervisors",512101,Salaries and Wages - Regular Hours - Salaried,XXXX25G002, Turbine O&M ,Preventative Maintenance,Salary & Wages,,
Staff Aug/ Contingent workers - Site,0500000,69000,CONTLAB,"Technician/SRC contingent worker labor for individuals under the direct supervision of a Deriva Manager/Supervisor (included on Duke org chart); i.e. Spencer Ogden, ERSG, Staffing Specialist",515220,Consultant - Staff Augmentation,XXXX25G006, Turbine O&M ,Preventative Maintenance,Consultant fees,,
3rd Party Maintenance Support,0500000,69100,CONTLAB,"Technician labor for technicians NOT under the direct supervision of a Deriva Manager/Supervisor; i.e. Uptower Inc., support from the OEM, etc. ",515219,Consultant - 3rd Party Maintenance Support ,XXXX25G006, Turbine O&M ,Preventative Maintenance,Consultant fees,,
Scheduled Maintenance or General Site Support from Central Services Teams,0553000,30000,TURBMTC,"Parts, materials, and consumables for all scheduled maintenance (including semi-annual, annual, 2-year, 5-year, etc.); includes cleaners, rags, grease, filters, top-off oil, antifreeze, oil samples for gearbox, hydraulic oil, grease samples for main bearings",514151,Supplies Consumable Maintenance,XXXX25G006, Turbine O&M ,Preventative Maintenance,Equipment Maintenance,,
,,,,Labor - MST Support (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25G006, Turbine O&M ,Preventative Maintenance,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25G006, Turbine O&M ,Preventative Maintenance,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25G006, Turbine O&M ,Preventative Maintenance,Meals & entertainment,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25G006, Turbine O&M ,Preventative Maintenance,Consultant fees,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25G006, Turbine O&M ,Preventative Maintenance,Motor vehicles,,
Other consumable Items & inventoried parts as used (not covered during scheduled maint),0510000,30000,MTCSUPP,"Hardware, o-rings, Rewitec, etc.; considered consumable in the tower; expensed when purchased; general stocking (warehouse small parts, nuts, bolts)
* If the consumable box is NOT checked in Maximo, use the coding guidance in the Inventory Items row below",514151,Supplies Consumable Maintenance,XXXX25G006, Turbine O&M ,Preventative Maintenance,Supplies,,
Refurbished Parts,,,,Refurbished Parts,514159,Supplies Consumable Maintenance - Refurbished Parts,XXXX25G006, Turbine O&M ,Preventative Maintenance,Supplies,,
Airgas (Bulk Gases),,,GASEXP,"Airgas, SF6 for breakers, nitrogen for accumulators  ",514100,Maintenance Material Other,XXXX25G006, Turbine O&M ,Preventative Maintenance,Equipment Maintenance,,
General Expenses & Other,,,GENEXP,"Recycling (cardboard, plastic); safety meetings, meals, recognitions, & awards; gifts for site tours & job fairs, REC transfer fees (WREGIS), storage fees, Connex storage, lubrication upgrade costs (filter carts, labels, jugs), meters",514100,Maintenance Material Other,XXXX25G006, Turbine O&M ,Preventative Maintenance,Equipment Maintenance,,
Safety PPE,,,SAFEEXP,"Hard hats, safety glasses, boots, harnesses, first aid kits, rescue dummy, lanyards, TSL kits, uniform/clothing replacements & new hires, fire extinguisher cert/service, fire suppression system inspections/service, fire alarms",514154,Supplies Safety Gear,XXXX25G006, Turbine O&M ,Preventative Maintenance,Supplies,,
Tooling,,,TOOLPUR,"Tooling (ERAD's, tension pumps, DRA tooling, etc.); calibrations  - *** tooling related to a specific job should be coded to the applicable project code",514153,Supplies Tools,XXXX25G006, Turbine O&M ,Preventative Maintenance,Supplies,,
Training (including Safety Training),0930940,30000,TRNGSEM,"Danish Wind Academy, HV substation training, On-Boarding/DRA training + materials, other training fees",517501,Employee Training,XXXX25G006, Turbine O&M ,Preventative Maintenance,Employee Related Expenses,,
Site Vehicles,0921200,50000,VEHLSE,Vehicle Fuel / Gas,514501,Vehicle Fuel / Gas,XXXX25G006, Turbine O&M ,Preventative Maintenance,Motor vehicles,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25G006, Turbine O&M ,Preventative Maintenance,Travel,,
,,,,Vehicle Maintenace and Repairs,514502,Vehicle Maintenace and Repairs,XXXX25G006, Turbine O&M ,Preventative Maintenance,Motor vehicles,,
Freight/Shipping,0500000,33001,FREIGHT,UPS & other freight handling charges,514130,Maintenance Material Freight Out Courier/Trucking,XXXX25G006, Turbine O&M ,Preventative Maintenance,Equipment Maintenance,,
Personal Mobile Device,0401100,40007,EMPEXP,Personal Mobile Devices for Site Staff,513105,Telecom - Cellular Service,XXXX25G006, Turbine O&M ,Preventative Maintenance,Communications (IT & Telecoms),,
Travel & Expenses,0921100,40000,TRVLEXP,Travel for Site Staff- use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25G006, Turbine O&M ,Preventative Maintenance,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25G006, Turbine O&M ,Preventative Maintenance,Meals & entertainment,,
Bonus,0920000,15001,BONUSEX,Sign on/recruiting bonus for OEM techs,512401,Bonus - Salaried,XXXX25G006, Turbine O&M ,Preventative Maintenance,Compensation - Bonus,,
Relocation,0921200,44000,RELOC,Relocation/Moving Expenses (when applicable for site technicians),512334,Hiring Costs / Moving Expenses / Relocation Costs - Salaried,XXXX25G006, Turbine O&M ,Preventative Maintenance,Benefits,,
Mobile Oil Exchanges,,30000,OILEXP,"Parts, materials, supplies",514104,Maintenance Material Gear/Hydraulic Oil,XXXX25G006, Turbine O&M ,Preventative Maintenance,Equipment Maintenance,,
,,,,3rd Party Services,515109,Outside Services Equipment Maintenance,XXXX25G006, Turbine O&M ,Preventative Maintenance,Outside Services,,
,,,,Labor (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25G006, Turbine O&M ,Preventative Maintenance,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25G006, Turbine O&M ,Preventative Maintenance,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25G006, Turbine O&M ,Preventative Maintenance,Meals & entertainment,,
,,,,Staff Aug/ Contingent workers (Labor),515220,Consultant - Staff Augmentation,XXXX25G006, Turbine O&M ,Preventative Maintenance,Consultant fees,,
,,,,Vehicle Rental,517105,Transportation - Auto Rental and Rental Car Fuel,XXXX25G006, Turbine O&M ,Preventative Maintenance,Travel,,
,,,,Vehicle Fuel,514501,Vehicle Fuel / Gas,XXXX25G006, Turbine O&M ,Preventative Maintenance,Motor vehicles,,
LTSA,,,,,,,,,,,,
LTSA - O&M Fixed and Variable Fee,0165400,69400,BLTSA,"Fixed Fee OEM Warranty Maint Svc Agreement (turnkey); includes limited damages and CPI increase (Frontier II, Ledyard, North Allegheny only)","113200 - Prepaid for invoices paying in advance
515140 - Accounting books expense to monthly",Operation and maintenance - fixed fee,XXXX25G004, Turbine O&M ,LTSA,O&M Fixed Fee,,
LTSA - O&M Contract - Bonus,0232892,69500,BLTSABN,O&M contract; production-based incentive and profit sharing for performance over a set number in O&M contract (Frontier),"113200 - Prepaid for invoices paying in advance
514411 - Accounting records expense to monthly",O&M - Availability Bonus,XXXX25G004, Turbine O&M ,LTSA,Equipment Maintenance,,
Blade Corrective,,,,,,,,,,,,
Blade Inspections,,69400,BLADEIN,"Blade Inspections  - Contractor Support
*Managed and arranged by the site - use site dept
*Managed and arranged by the Blade Team - use dept 8133",515109,Outside Services Equipment Maintenance,XXXX25G003,Turbine O&M,Blade Preventative,Outside Services,,
,,,,"Consumables, Materials and Supplies",514404,R&M Blades,XXXX25G003,Turbine O&M,Blade Preventative,Equipment Maintenance,,
,,,,Labor (Deriva FTE),512101,Salaries and Wages - Regular Hours - Salaried,XXXX25G003,Turbine O&M,Blade Preventative,Salary & Wages,,
,,,,Travel - use applicable travel account to correspond with cost,517100,Transportation - Other,XXXX25G003,Turbine O&M,Blade Preventative,Travel,,
,,,,Per Diem,517112,Per Diem Allowance Travel Meals,XXXX25G003,Turbine O&M,Blade Preventative,Meals & entertainment,,
