IT Charging Guidelines,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,"Concur, Timesheets, Maximo, Basware, IFS",,,,,,,,,
Description,,Company id,Location,Department,Project,Activity,Expense Type,Account,Account Name,Account Group,
Labor,,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin","DSOP
DWOP
DCS4
DWE1
STRG
DSOL",,"DSOP25G001
DWOP25G001
DCS425G001
DWE125G001
STRG25G001
DSOL25G001","DSOP25G001.100.10
DWOP25G001.100.10
DCS425G001.100.10
DWE125G001.100.10
STRG25G001.100.10
DSOL25G001.100.10",,512101,Salaries and Wages - Regular Hours - Salaried,Salary & Wages,
Labor - NERC and PI support,,"(75736) Deriva Energy Services, LLC",DSOL,,DSOLITWS,DSOLITWS.100.10,,512101,Salaries and Wages - Regular Hours - Salaried,Salary & Wages,
Contract Workers,,"(75736) Deriva Energy Services, LLC",DSOL,Contact IT Manager,,,,515220,Consultant - Staff Augmentation,Consultant fees,
Contract Workers - NERC and PI support,,"(75736) Deriva Energy Services, LLC",DSOL,Contact IT Manager,DSOLITWS,,,515220,Consultant - Staff Augmentation,Consultant fees,
"PMD
 (personal mobile device)",,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Cellular Service (PMD),513105,Telecom - Cellular Service,Communications (IT & Telecoms),
Parking,,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Parking,517102,Transportation - Tolls and Parking,Travel,
Travel - Lodging,,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Accommodations Hotel / Lodging Expenses,517110,Accommodations Hotel / Lodging Expenses,Travel,
Travel - Auto Rental & Rental Car Fuel,,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Auto Rental & Rental Car Fuel,517105,Transportation - Auto Rental and Rental Car Fuel,Travel,
Travel - Flight / Airfare,,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Flight / Airfare,517103,Transportation - Flight / Airfare,Travel,
"Travel - Ground Bus, Taxi",,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,"Ground Bus, Taxi",517104,Transportation - Ground Bus Taxi,Travel,
Travel - Meals - Individual,,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Meals - Individual,517200,Meals,Meals & entertainment,
Travel - Meals - Small Teams (Max 8-10),,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Meals - Small Teams (Max 8-10),517200,Meals,Meals & entertainment,
Travel - Mileage Reimbursement,,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Mileage Reimbursement,517101,Transportation - Mileage Reimbursement,Travel,
Travel - Other Transportation,,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Other Transportation,517100,Transportation - Other,Travel,
Travel - Tolls,,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Tolls,517102,Transportation - Tolls and Parking,Travel,
Conferences and Seminars,,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Conferences and Seminars,517400,Conferences and Seminars,Employee Related Expenses,
Training,,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Employee Training,517501,Employee Training,Employee Related Expenses,
Memberships,,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,,Memberships,517600,Memberships,Employee Related Expenses,
Shipping/Freight,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,Freight,514130,Maintenance Material Freight Out Courier/Trucking,Equipment Maintenance,
Team Building,,"(75736) Deriva Energy Services, LLC",DSOL,8034,,,Entertainment (Staff & External Guests),517111,Entertainment (Staff & External Guests),Meals & entertainment,
Late Charges,,"(75736) Deriva Energy Services, LLC",DSOL,Contact IT Manager,,,,513719,Other Fees,Other Fees & charges,
Azure,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514301,IT Software,Computer Expenses,
AWS,,"(75736) Deriva Energy Services, LLC",DSOL,8032,,,,514301,IT Software,Computer Expenses,
Redshift,,"(75736) Deriva Energy Services, LLC",DSOL,8032,,,,514301,IT Software,Computer Expenses,
MS Unified Support,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514301,IT Software,Computer Expenses,
Litera,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514301,IT Software,Computer Expenses,
Digital Reality,,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSB,,,514302,IT Hardware,Computer Expenses,
Telco Circuits,,Individual Sites,Individual Sites,8031,XXXX25G018,,,513102,Telecom - Telephone,Communications (IT & Telecoms),
M365 Licensing,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514301,IT Software,Computer Expenses,
Solar Winds,,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSB,,,514301,IT Software,Computer Expenses,
End User Software,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514301,IT Software,Computer Expenses,
Adobe Licensing,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514301,IT Software,Computer Expenses,
Verizon,,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSBC,,,513102,Telecom - Telephone,Communications (IT & Telecoms),
Door James (Workstation Reservation),,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514301,IT Software,Computer Expenses,
Printers,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514302,IT Hardware,Computer Expenses,
Team Viewer Licensing,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514301,IT Software,Computer Expenses,
Citrix,,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSB,,,514301,IT Software,Computer Expenses,
Domain Management - Cloudflare,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514301,IT Software,Computer Expenses,
Cloudockit,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514301,IT Software,Computer Expenses,
Checkpoint,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514302,IT Hardware,Computer Expenses,
Office Hardware - IT,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514302,IT Hardware,Computer Expenses,
Office Hardware - OT,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514302,IT Hardware,Computer Expenses,
Password Management Tool,,"(75736) Deriva Energy Services, LLC",DSOL,8033,,,,514301,IT Software,Computer Expenses,
VMWare,,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSB,,,514301,IT Software,Computer Expenses,
Badging,,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSB,,,514301,IT Software,Computer Expenses,
Cisco,,"(75736) Deriva Energy Services, LLC",DSOL,8031,,,,514302,IT Hardware,Computer Expenses,
Palo Alto,,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSB,,,514302,IT Hardware,Computer Expenses,
Jira,,"(75736) Deriva Energy Services, LLC",DSOL,8032,,,,514301,IT Software,Computer Expenses,
Miro,,"(75736) Deriva Energy Services, LLC",DSOL,8032,,,,514301,IT Software,Computer Expenses,
Workato,,"(75736) Deriva Energy Services, LLC",DSOL,8032,,,,514301,IT Software,Computer Expenses,
Acquis Consulting (Concur Support),,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,515200,Consultant Other,Consultant fees,
Cerebro Capital (debt compliance),,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
IT2 (ROB),,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
IFS (ROB),,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Certent Disclosure Management (replaces Wdesk) bf Allocation,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Basware or Medius - selection IP ,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
OneStream (Rob),,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
DSA Tool,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
TRM Tracker (BF Allocations),,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
ZE Power (BF Allocations),,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Morningstar (Subscription and Excel Add-in),,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
PSC - GE EMS Support,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,,,515200,Consultant Other,Consultant fees,
Excele Support,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,,,515200,Consultant Other,Consultant fees,
Maximo (Projetech),,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSBC,,,514301,IT Software,Computer Expenses,
EZMax (Maximo),,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSBC,,,514301,IT Software,Computer Expenses,
PaSTA (Maximo),,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSBC,,,514301,IT Software,Computer Expenses,
GEMS / Provider-Computershare,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
MV-90,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,,,514301,IT Software,Computer Expenses,
GE EMS,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,,,514301,IT Software,Computer Expenses,
VT Scada,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,,,514301,IT Software,Computer Expenses,
Kepware (PI OPC Interface),,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWSB,,,514301,IT Software,Computer Expenses,
Seeq,,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWS,,,514301,IT Software,Computer Expenses,
"PI (Multiple Products, AVEVA)",,"(75736) Deriva Energy Services, LLC",DSOL,8030,DSOLITWS,,,113200,IT Software,Computer Expenses,
Hartigen PowerOptix,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Litmos,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Procore ,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
BenePass,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Landworks,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
Exterro,,"(75736) Deriva Energy Services, LLC",DSOL,8030,,,,514301,IT Software,Computer Expenses,
