Description,Company ID,Location,Department,Project,Account,Account Name
Salaries,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence ",,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",512101,Salaries and Wages - Regular Hours - Salaried
"PMD
 (personal mobile device)","(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",513105,Telecom - Cellular Service
Travel - Auto Rental & Rental Car Fuel,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",517105,Transportation - Auto Rental and Rental Car Fuel
Travel - Flight / Airfare,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",517103,Transportation - Flight / Airfare
"Travel - Ground Bus, Taxi","(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",517104,Transportation - Ground Bus Taxi
Travel - Lodging,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",517110,Accommodations Hotel / Lodging Expenses
Travel - Meals - Individual,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",517200,Meals
Travel - Meals - Small Teams (Max 8-10),"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",517200,Meals
Travel - Mileage Reimbursement,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",517101,Transportation - Mileage Reimbursement
Travel - Other Transportation,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",517100,Transportation - Other
Travel - Tolls,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",517102,Transportation - Tolls and Parking
Vehicle,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",514501,Vehicle Fuel / Gas
Parking,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",517102,Transportation - Tolls and Parking
Training,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",See Employee Dept List  ,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",517501,Employee Training
Memberships,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin
**Project Specific - see Project Activity Sequence ","DCS4
DWE1
STRG
DSOL
**Project Specific - see Project Activity Sequence  ",8021,"DCS425G001
DWE125G001
STRG25G001
DSOL25G001
**Project Specific - see Project Activity Sequence  ",517600,Memberships
