Description,Company ID,Location,Department,Project,Account,Account Name
Salaries,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,512101,Salaries and Wages - Regular Hours - Salaried
"PMD
 (personal mobile device)","(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,513105,Telecom - Cellular Service
Travel - Auto Rental & Rental Car Fuel,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517105,Transportation - Auto Rental and Rental Car Fuel
Travel - Flight / Airfare,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517103,Transportation - Flight / Airfare
"Travel - Ground Bus, Taxi","(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517104,Transportation - Ground Bus Taxi
Travel - Lodging,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517110,Accommodations Hotel / Lodging Expenses
Travel - Meals - Individual,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517200,Meals
Travel - Meals - Small Teams (Max 8-10),"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517200,Meals
Travel - Mileage Reimbursement,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517101,Transportation - Mileage Reimbursement
Travel - Other Transportation,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517100,Transportation - Other
Travel - Tolls,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517102,Transportation - Tolls and Parking
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517102,Transportation - Tolls and Parking
Vehicle,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,514501,Vehicle Fuel / Gas
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517400,Conferences and Seminars
Consultant Legal Services,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,515210,Consultant Legal Services
Contract Workers,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,515220,Consultant - Staff Augmentation
Training,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517501,Employee Training
Sponsorships,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,518104,Sponsorship
Marketing,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,515400,Public Relations
Subscriptions,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517600,Memberships
Subscriptions,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517601,Newspapers and Magazines Subscription
Subscriptions - New Project Media,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,514301,IT Software
Memberships,"(75736) Deriva Energy Services, LLC",DSOL,8010,DSOL25G001,517600,Memberships
Memberships,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,517600,Memberships
Public Relations,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,513800,Publicity Advertising and Promotion Costs
Environmental,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,515104,Outside Services Environmental
Interconnection,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,515101,Outside Services Electrical
Origination,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,518200,Sustainable Development Expense
Permitting/Tax,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,518200,Sustainable Development Expense
Real Etate,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,513402,Long Term Lease Property / Land
Security,"(75736) Deriva Energy Services, LLC",DSOL,8020,DSOL25G001,515100,Outside Services Other
