Description,Company ID,Location,Department,Project,Account,Account Name
Salaries & Bonus,"(75736) Deriva Energy Services, LLC",DSOL,8001,DSOL25G001,512101,Salaries and Wages - Regular Hours - Salaried
Travel,"(75736) Deriva Energy Services, LLC",DSOL,8001,DSOL25G001,517100,Transportation - Other
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8001,DSOL25G001,517102,Transportation - Tolls and Parking
Mobile,"(75736) Deriva Energy Services, LLC",DSOL,8001,DSOL25G001,513105,Telecom - Cellular Service
NASCAR Lease,"(75736) Deriva Energy Services, LLC",DSOL,8001,DSOL25G001,513401,Long Term Lease Building/Office Space
CAM Charge,"(75736) Deriva Energy Services, LLC",DSOL,8001,DSOL25G001,513401,Long Term Lease Building/Office Space
JLL Facility Mgmt,"(75736) Deriva Energy Services, LLC",DSOL,8001,DSOL25G001,513401,Long Term Lease Building/Office Space
Hidalgo County (Outland PPT),"(75736) Deriva Energy Services, LLC",DSOL,8001,DSOL25G001,513401,Long Term Lease Building/Office Space
Canby Rent,"(75736) Deriva Energy Services, LLC",DSOL,8001,DSOL25G001,513401,Long Term Lease Building/Office Space
Charlotte Office Supplies,"(75736) Deriva Energy Services, LLC",DSOL,8001,DSOL25G001,514200,Office Supplies - General
Building Maintenance Purchases (Canby Office Expenses),"(75736) Deriva Energy Services, LLC",DSOL,8001,CANBYOFF,514100,Maintenance Material Other
"Water, Sewer, Heat/Gas, Dish Network, Garbage (Canby Office Expenses)","(75736) Deriva Energy Services, LLC",DSOL,8001,CANBYOFF,513300,Utilities Office Electrical
Electric (Canby Office Expenses),"(75736) Deriva Energy Services, LLC",DSOL,8001,CANBYOFF,513300,Utilities Office Electrical
Community Relations/Events/Donations (Canby Office Expenses),"(75736) Deriva Energy Services, LLC",DSOL,8001,CANBYOFF,518102,Donations Charitable Registered
Office Cleaning (Canby Office Expenses),"(75736) Deriva Energy Services, LLC",DSOL,8001,CANBYOFF,515220,Consultant - Staff Augementation
Office Rent/Lease (Canby Office Expenses),"(75736) Deriva Energy Services, LLC",DSOL,8001,CANBYOFF,513401,Long Term Lease Building/Office Space
"Snow removal, Shredding service, Other contractor work (Canby Office Expenses)","(75736) Deriva Energy Services, LLC",DSOL,8001,CANBYOFF,515100,Outside Services Other
Office Supplies (Canby Office Expenses),"(75736) Deriva Energy Services, LLC",DSOL,8001,CANBYOFF,514200,Office Supplies - General
