Description,Company ID,Location,Department,Project,Account,Account Name
Salaries & Bonus,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,513105,Telecom - Cellular Service
Training,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,517501,Employee Training
Travel,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,517100,Transportation - Other
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,517102,Transportation - Tolls and Parking
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,517400,Conferences and Seminars
Membership,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,517600,Memberships
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,517400,Conferences and Seminars
Contractors,"(75736) Deriva Energy Services, LLC",DSOL,8011,DSOL25G001,515220,Consultant- Staff Augmentation
Salaries & Bonus,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,513105,Telecom - Cellular Service
Training,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,517501,Employee Training
Travel,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,517100,Transportation - Other
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,517102,Transportation - Tolls and Parking
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,517400,Conferences and Seminars
Membership,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,517600,Memberships
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,517400,Conferences and Seminars
Contractors,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,515220,Consultant- Staff Augmentation
Bank Fees,"(75736) Deriva Energy Services, LLC",DSOL,8012,DSOL25G001,513600,Bank charges & fees
Salaries & Bonus,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,513105,Telecom - Cellular Service
Training,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,517501,Employee Training
Travel,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,517100,Transportation - Other
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,517102,Transportation - Tolls and Parking
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,517400,Conferences and Seminars
Membership,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,517600,Memberships
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,517400,Conferences and Seminars
Contractors,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,515220,Consultant- Staff Augmentation
Tax Compliance - KPMG,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,515313,Tax Advisory Services
Tax Consulting - Ad hoc,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,515214,Consultant Taxes
BNA Fixed Asset,"(75736) Deriva Energy Services, LLC",DSOL,8013,DSOL25G001,515216,Consultant Information Technology
Salaries and Wages ,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,513105,Telecom - Cellular Service
Training,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,517501,Employee Training
Travel,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,517100,Transportation - Other
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,517102,Transportation - Tolls and Parking
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,517400,Conferences and Seminars
Membership,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,517600,Memberships
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,517400,Conferences and Seminars
Contractors,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,515220,Consultant- Staff Augmentation
EHS Audit,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,515203,Consultant Safety
Corporate Insurance Policy,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,513501,Insurance - Liability
Insurance Claim Support ,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,513504,Insurance - Risk
SOX Vendor - GT,"(75736) Deriva Energy Services, LLC",DSOL,8014,DSOL25G001,515213,Consultant Financial Services
Salaries & Bonus,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,513105,Telecom - Cellular Service
Training,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,517501,Employee Training
Travel,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,517100,Transportation - Other
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,517102,Transportation - Tolls and Parking
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,517400,Conferences and Seminars
Membership,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,517600,Memberships
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,517400,Conferences and Seminars
Subscriptions,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,517601,Newspapers and Magazines Subscription
TSA Cost,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,512101,Salaries and Wages - Regular Hours - Salaried
TSA Cost,"(75736) Deriva Energy Services, LLC",DSOL,8015,DSOL25G001,513102,Telecom - Telephone
Salaries & Bonus,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,513105,Telecom - Cellular Service
Training,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,517501,Employee Training
Travel,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,517100,Transportation - Other
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,517102,Transportation - Tolls and Parking
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,517400,Conferences and Seminars
Membership,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,517600,Memberships
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,517400,Conferences and Seminars
Contractors,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,515220,Consultant- Staff Augmentation
Sales/Use Tax Consulting,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,515214,Consultant Taxes
Property Tax Consulting,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,515214,Consultant Taxes
Corporate Audit Fees,"(75736) Deriva Energy Services, LLC",DSOL,8016,DSOL25G001,515300,Audit - Financial Statements
Salaries & Bonus,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,513105,Telecom - Cellular Service
Training,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,517501,Employee Training
Travel,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,517100,Transportation - Other
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,517102,Transportation - Tolls and Parking
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,517400,Conferences and Seminars
Compliance System Conversion,"(75736) Deriva Energy Services, LLC",DSOL,8017,DSOL25G001,515121,Outside Services Hardware Maintenance
Salaries & Bonus,"(75736) Deriva Energy Services, LLC",DSOL,8018,,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,"(75736) Deriva Energy Services, LLC",DSOL,8018,,513105,Telecom - Cellular Service
Training,"(75736) Deriva Energy Services, LLC",DSOL,8018,,517501,Employee Training
Travel,"(75736) Deriva Energy Services, LLC",DSOL,8018,,517100,Transportation - Other
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8018,,517102,Transportation - Tolls and Parking
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8018,,517400,Conferences and Seminars
Membership,"(75736) Deriva Energy Services, LLC",DSOL,8018,,517600,Memberships
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8018,,517400,Conferences and Seminars
Contractors,"(75736) Deriva Energy Services, LLC",DSOL,8018,,515220,Consultant- Staff Augmentation
Intercontinental Exchange Holding Inc,"(75736) Deriva Energy Services, LLC",DSOL,8018,,514301,IT Software
Genscape ,"(75736) Deriva Energy Services, LLC",DSOL,8018,,514301,IT Software
REC Trades,"(75736) Deriva Energy Services, LLC",DSOL,8018,,515213,Consultant Financial Services
Salaries & Bonus,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,512101,Salaries and Wages - Regular Hours - Salaried
Mobile,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,513105,Telecom - Cellular Service
Training,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,517501,Employee Training
Travel,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,517100,Transportation - Other
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,517102,Transportation - Tolls and Parking
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,517400,Conferences and Seminars
Membership,"(75736) Deriva Energy Services, LLC",DSOL,8023,DSOL25G001,517600,Memberships
