Description,Company ID,Location,Department,Project,Account,Account Name
Labor,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin","DSOP
DWOP
DCS4
DWE1
STRG
DSOL",,"DSOP25G001
DWOP25G001
DCS425G001
DWE125G001
STRG25G001
DSOL25G001",512101,Salaries and Wages - Regular Hours - Salaried
Labor - NERC and PI support,"(75736) Deriva Energy Services, LLC",DSOL,,DSOLITWS,512101,Salaries and Wages - Regular Hours - Salaried
Contract Workers,"(75736) Deriva Energy Services, LLC",DSOL,Contact IT Manager,,515220,Consultant - Staff Augmentation
Contract Workers - NERC and PI support,"(75736) Deriva Energy Services, LLC",DSOL,Contact IT Manager,DSOLITWS,515220,Consultant - Staff Augmentation
"PMD
 (personal mobile device)","(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,513105,Telecom - Cellular Service
Parking,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517102,Transportation - Tolls and Parking
Travel - Lodging,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517110,Accommodations Hotel / Lodging Expenses
Travel - Auto Rental & Rental Car Fuel,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517105,Transportation - Auto Rental and Rental Car Fuel
Travel - Flight / Airfare,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517103,Transportation - Flight / Airfare
"Travel - Ground Bus, Taxi","(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517104,Transportation - Ground Bus Taxi
Travel - Meals - Individual,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517200,Meals
Travel - Meals - Small Teams (Max 8-10),"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517200,Meals
Travel - Mileage Reimbursement,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517101,Transportation - Mileage Reimbursement
Travel - Other Transportation,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517100,Transportation - Other
Travel - Tolls,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517102,Transportation - Tolls and Parking
Conferences and Seminars,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517400,Conferences and Seminars
Training,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517501,Employee Training
Memberships,"(75736) Deriva Energy Services, LLC",DSOL,See Employee Dept List tab,,517600,Memberships
Shipping/Freight,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514130,Maintenance Material Freight Out Courier/Trucking
Team Building,"(75736) Deriva Energy Services, LLC",DSOL,8034,,517111,Entertainment (Staff & External Guests)
Late Charges,"(75736) Deriva Energy Services, LLC",DSOL,Contact IT Manager,,513719,Other Fees
Azure,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514301,IT Software
AWS,"(75736) Deriva Energy Services, LLC",DSOL,8032,,514301,IT Software
Redshift,"(75736) Deriva Energy Services, LLC",DSOL,8032,,514301,IT Software
MS Unified Support,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514301,IT Software
Litera,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514301,IT Software
Digital Reality,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSB,514302,IT Hardware
Telco Circuits,Individual Sites,Individual Sites,8031,XXXX25G018,513102,Telecom - Telephone
M365 Licensing,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514301,IT Software
Solar Winds,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSB,514301,IT Software
End User Software,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514301,IT Software
Adobe Licensing,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514301,IT Software
Verizon,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSBC,513102,Telecom - Telephone
Door James (Workstation Reservation),"(75736) Deriva Energy Services, LLC",DSOL,8031,,514301,IT Software
Printers,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514302,IT Hardware
Team Viewer Licensing,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514301,IT Software
Citrix,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSB,514301,IT Software
Domain Management - Cloudflare,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514301,IT Software
Cloudockit,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514301,IT Software
Checkpoint,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514302,IT Hardware
Office Hardware - IT,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514302,IT Hardware
Office Hardware - OT,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514302,IT Hardware
Password Management Tool,"(75736) Deriva Energy Services, LLC",DSOL,8033,,514301,IT Software
VMWare,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSB,514301,IT Software
Badging,"(75736) Deriva Energy Services, LLC",DSOL,8031,DSOLITWSB,514301,IT Software
Cisco,"(75736) Deriva Energy Services, LLC",DSOL,8031,,514302,IT Hardware
