Description,Company ID,Location,Department,Project,Account,Account Name
Salaries & Bonus,"(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(77079) Deriva Energy Sub I
(75752) Deriva Energy Wind, LLC
(75969) Deriva Energy Storage, LLC
(75736) - General & Admin","DSOP
DWOP
DCS4
DWE1
STRG
DSOL",8025,"DSOP25G001
DWOP25G001
DCS425G001
DWE125G001
STRG25G001
DSOL25G001",512101,Salaries and Wages - Regular Hours - Salaried
"PMD
 (personal mobile device)","(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,513105,Telecom - Cellular Service
Travel - Lodging,"(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,517110,Accommodations Hotel / Lodging Expenses
Travel - Auto Rental & Rental Car Fuel,"(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,517105,Transportation - Auto Rental and Rental Car Fuel
Travel - Flight / Airfare,"(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,517103,Transportation - Flight / Airfare
"Travel - Ground Bus, Taxi","(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,517104,Transportation - Ground Bus Taxi
Travel - Meals - Individual,"(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,517200,Meals
Travel - Meals - Small Teams (Max 8-10),"(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,517200,Meals
Travel - Mileage Reimbursement,"(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,517101,Transportation - Mileage Reimbursement
Travel - Other Transportation,"(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,517100,Transportation - Other
Travel - Tolls,"(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,517102,Transportation - Tolls and Parking
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,517102,Transportation - Tolls and Parking
Conferences and Seminars,"(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,517400,Conferences and Seminars
Contract Workers,"(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,515220,Consultant - Staff Augmentation
Subscriptions,"(75736) Deriva Energy Services, LLC",DSOL,8025,DSOL25G001,517601,Newspapers and Magazines Subscription
