Description,Company ID,Location,Department,Project,Account,Account Name
Salaries,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,512101,Salaries and Wages - Regular Hours - Salaried
"PMD
 (personal mobile device)","(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,513105,Telecom - Cellular Service
Training,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517501,Employee Training
Parking,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517102,Transportation - Tolls and Parking
Vehicle,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,514501,Vehicle Fuel / Gas
Memberships,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517600,Memberships
Subscriptions,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517600,Memberships
Conferences,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517400,Conferences and Seminars
Travel - Lodging,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517110,Accommodations Hotel / Lodging Expenses
Travel - Auto Rental & Rental Car Fuel,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517105,Transportation - Auto Rental and Rental Car Fuel
Travel - Flight / Airfare,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517103,Transportation - Flight / Airfare
"Travel - Ground Bus, Taxi","(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517104,Transportation - Ground Bus Taxi
Travel - Meals - Individual,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517200,Meals
Travel - Meals - Small Teams (Max 8-10),"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517200,Meals
Travel - Mileage Reimbursement,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517101,Transportation - Mileage Reimbursement
Travel - Other Transportation,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517100,Transportation - Other
Travel - Tolls,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,517102,Transportation - Tolls and Parking
Contract Workers,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,515220,Consultant - Staff Augmentation
MARS Settlement,(75816) Mesquite Creek Wind LLC,MESQ,8040,MESQ25G006,515210,Consultant Legal Services
Corporate Legal Costs,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,515210,Consultant Legal Services
Consultant Legal Services,"(75736) Deriva Energy Services, LLC",DSOL,8040,DSOL25G001,515210,Consultant Legal Services
