Description,Company ID,Location,Department,Project,Account,Account Name
Labor: Technologists,75736,DBMT,8133,DBMT25G001,512101,Salaries and Wages - Regular Hours - Salaried
"Labor: Area Manager, Planner/Schedulers, ARRC",75736,DBMT,8133,DBMT25G001,512101,Salaries and Wages - Regular Hours - Salaried
Technologist Contingent workers,75736,DBMT,8133,DBMT25G001,515220,Consultant - Staff Augmentation
Specialized Jobs,75736,DBMT,8133,DBMT25G001,515100,Outside Services Other
Other consumable Items ,75736,DBMT,8133,DBMT25G001,514151,Supplies Consumable Maintenance
Outside Services,75736,DBMT,8133,DBMT25G001,515100,Outside Services Other
Rental Equipment,75736,DBMT,8133,DBMT25G001,514400,Maintenance equipment Rental
Office Supplies,75736,DBMT,8133,DBMT25G001,514200,Office Supplies - General
Training (including Safety Training),75736,DBMT,8133,DBMT25G001,517501,Employee Training
Safety PPE,75736,DBMT,8133,DBMT25G001,514154,Supplies Safety Gear
"Fuel: Propane, Diesel & Gasoline",75736,DBMT,8133,DBMT25G001,513302,Utilities - Heat Gas / Oil / Fuel
General Expenses & Other,75736,DBMT,8133,DBMT25G001,514100,Maintenance Material Other
Tooling,75736,DBMT,8133,DBMT25G001,514153,Supplies Tools
Vehicles,75736,DBMT,8133,DBMT25G001,514501,Vehicle Fuel / Gas
Vehicles,75736,DBMT,8133,DBMT25G001,514502,Vehicle Maintenace and Repairs
Travel & Expenses,75736,DBMT,8133,DBMT25G001,517100,Transportation - Other
Shipping,75736,DBMT,8133,DBMT25G001,514130,Maintenance Material Freight Out Courier/Trucking
Personal Mobile Device,75736,DBMT,8133,DBMT25G001,513105,Telecom - Cellular Service
