Description,Company ID,Location,Department,Project,Account,Account Name
Labor (Deriva FTE),"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,512101,Salaries and Wages - Regular Hours - Salaried
Contract Workers (Labor),"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,515220,Consultant - Staff Augmentation
Vehicle Fuel / Gas,"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,514501,Vehicle Fuel / Gas
Vehicle Maintenace and Repairs,"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,514502,Vehicle Maintenace and Repairs
Travel - Daily Allowance (meals),"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,517112,Per Diem Allowance Travel Meals
Travel - Daily Allowance (lodging),"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,517112,Per Diem Allowance Travel Meals
Travel - Lodging,"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,517110,Accommodations Hotel / Lodging Expenses
Travel - Auto Rental & Rental Car Fuel,"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,517105,Transportation - Auto Rental and Rental Car Fuel
Travel - Flight / Airfare,"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,517103,Transportation - Flight / Airfare
"Travel - Ground Bus, Taxi","(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,517104,Transportation - Ground Bus Taxi
Travel - Mileage Reimbursement,"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,517101,Transportation - Mileage Reimbursement
Travel - Other Transportation,"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,517100,Transportation - Other
Travel - Tolls,"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,517102,Transportation - Tolls and Parking
Crane,"(75736) Deriva Energy Services, LLC",CLCT,8132,From work order,514403,Maintenance equipment Rental CRANE
"Unproductive time (R&R, Vacation, Sick, ect.)","(75736) Deriva Energy Services, LLC",CLCT,8132,No code needed,,
Manager,,,,,,
Respective expense item,"(75736) Deriva Energy Services, LLC",CLCT,8132,CLCT25G001,,
Respective expense item,"(75752) Deriva Energy Wind, LLC",DWOP,8132,DWOP25G001,,
Planner/Scheduler,,,,,,
Respective expense item,"(75736) Deriva Energy Services, LLC",CGBT,8132,CGBT25G001,,
Respective expense item,"(75736) Deriva Energy Services, LLC",CLCT,8132,CLCT25G001,,
Respective expense item,(75940) Ledyard,LEDY,8132,LEDY25G002,,
Respective expense item,"(75752) Deriva Energy Wind, LLC",DWOP,8132,DWOP25G001,,
Uniforms,"(75736) Deriva Energy Services, LLC",CLCT,8132,MSTDWOP,514154,Supplies Safety Gear
Uniforms,"(75752) Deriva Energy Wind, LLC",DWOP,8132,DWOPMST,514154,Supplies Safety Gear
Boot reimbursements,"(75736) Deriva Energy Services, LLC",CLCT,8132,MSTDWOP,514154,Supplies Safety Gear
Boot reimbursements,"(75752) Deriva Energy Wind, LLC",DWOP,8132,DWOPMST,514154,Supplies Safety Gear
PPE for new hires and replacement PPE,"(75736) Deriva Energy Services, LLC",CLCT,8132,MSTDWOP,514154,Supplies Safety Gear
PPE for new hires and replacement PPE,"(75752) Deriva Energy Wind, LLC",DWOP,8132,DWOPMST,514154,Supplies Safety Gear
PMD reimbursements,"(75736) Deriva Energy Services, LLC",CLCT,8132,MSTDWOP,513105,Telecom - Cellular Service
PMD reimbursements,"(75752) Deriva Energy Wind, LLC",DWOP,8132,DWOPMST,513105,Telecom - Cellular Service
DRA training - technicians NOT assigned to contracted site,"(75736) Deriva Energy Services, LLC",CLCT,8132,1002,,
DRA training - technicians NOT assigned to contracted site,"(75752) Deriva Energy Wind, LLC",DWOP,8132,DWOPMST,,
DRA training - technicians assigned to contracted site,"(75736) Deriva Energy Services, LLC",CLCT,8132,Applicable project code,,
DRA Leadership training - technicians NOT assigned to contracted site,"(75736) Deriva Energy Services, LLC",CLCT,8132,MSTDWOP,,
