Description,Company ID,Location,Department,Project,Account,Account Name,Additional Guidance
Preventative Maintenance,,,,,,,
Labor - Site (Deriva FTE's) (Preventative Maintenance),,,,XXXX25G006,512101,Salaries and Wages - Regular Hours - Salaried,Site Technicians 
Labor - Site (Deriva FTE's) (Preventative Maintenance),,,,XXXX25G002,512101,Salaries and Wages - Regular Hours - Salaried,Site ARRC's
Labor - Site (Deriva FTE's) (Preventative Maintenance),,,,XXXX25G002 ,512101,Salaries and Wages - Regular Hours - Salaried,"Site Area Managers, Planner/Schedulers, Supervisors"
Staff Aug/ Contingent workers - Site (Preventative Maintenance),,,,XXXX25G006,515220,Consultant - Staff Augmentation,"Technician/SRC contingent worker labor for individuals under the direct supervision of a Deriva Manager/Supervisor (included on Duke org chart); i.e. Spencer Ogden, ERSG, Staffing Specialist"
3rd Party Maintenance Support (Preventative Maintenance),,,,XXXX25G006,515219,Consultant - 3rd Party Maintenance Support ,"Technician labor for technicians NOT under the direct supervision of a Deriva Manager/Supervisor; i.e. Uptower Inc., support from the OEM, etc. "
Scheduled Maintenance or General Site Support from Central Services Teams (Preventative Maintenance),,,,XXXX25G006,514151,Supplies Consumable Maintenance,"Parts, materials, and consumables for all scheduled maintenance (including semi-annual, annual, 2-year, 5-year, etc.); includes cleaners, rags, grease, filters, top-off oil, antifreeze, oil samples for gearbox, hydraulic oil, grease samples for main bearings"
Scheduled Maintenance or General Site Support from Central Services Teams (Preventative Maintenance),,,,XXXX25G006,512101,Salaries and Wages - Regular Hours - Salaried,Labor - MST Support (Deriva FTE)
Scheduled Maintenance or General Site Support from Central Services Teams (Preventative Maintenance),,,,XXXX25G006,517100,Transportation - Other,Travel - use applicable travel account to correspond with cost
Scheduled Maintenance or General Site Support from Central Services Teams (Preventative Maintenance),,,,XXXX25G006,517112,Per Diem Allowance Travel Meals,Per Diem
Scheduled Maintenance or General Site Support from Central Services Teams (Preventative Maintenance),,,,XXXX25G006,515220,Consultant - Staff Augmentation,Staff Aug/ Contingent workers (Labor)
Scheduled Maintenance or General Site Support from Central Services Teams (Preventative Maintenance),,,,XXXX25G006,514501,Vehicle Fuel / Gas,Vehicle Fuel
Other consumable Items & inventoried parts as used (not covered during scheduled maint) (Preventative Maintenance),,,,XXXX25G006,514151,Supplies Consumable Maintenance,"Hardware, o-rings, Rewitec, etc.; considered consumable in the tower; expensed when purchased; general stocking (warehouse small parts, nuts, bolts)
* If the consumable box is NOT checked in Maximo, use the coding guidance in the Inventory Items row below"
Refurbished Parts (Preventative Maintenance),,,,XXXX25G006,514159,Supplies Consumable Maintenance - Refurbished Parts,Refurbished Parts
Airgas (Bulk Gases) (Preventative Maintenance),,,,XXXX25G006,514100,Maintenance Material Other,"Airgas, SF6 for breakers, nitrogen for accumulators  "
General Expenses & Other (Preventative Maintenance),,,,XXXX25G006,514100,Maintenance Material Other,"Recycling (cardboard, plastic); safety meetings, meals, recognitions, & awards; gifts for site tours & job fairs, REC transfer fees (WREGIS), storage fees, Connex storage, lubrication upgrade costs (filter carts, labels, jugs), meters"
Safety PPE (Preventative Maintenance),,,,XXXX25G006,514154,Supplies Safety Gear,"Hard hats, safety glasses, boots, harnesses, first aid kits, rescue dummy, lanyards, TSL kits, uniform/clothing replacements & new hires, fire extinguisher cert/service, fire suppression system inspections/service, fire alarms"
Tooling (Preventative Maintenance),,,,XXXX25G006,514153,Supplies Tools,"Tooling (ERAD's, tension pumps, DRA tooling, etc.); calibrations  - *** tooling related to a specific job should be coded to the applicable project code"
