Description,Company ID,Location,Account,Department,Project,Project Name
BoP: Elec BoP: Corrective,75550,PPJK,,,PPJK25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75550,PPJK,,,PPJK25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75550,PPJK,,,PPJK25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75550,PPJK,,,PPJK25B004,BoP: Vegetation Management 
BoP: Civil BoP,75550,PPJK,,,PPJK25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75550,PPJK,,,PPJK25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75550,PPJK,,,PPJK25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75550,PPJK,,,PPJK25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75550,PPJK,,,PPJK25G007,Ops Support: Site Specific
Issuance Fee,75550,PPJK,,,PPJK25G008,Issuance Fee
Community Benefit,75550,PPJK,,,PPJK25G009,Community Benefit
NERC Compliance,75550,PPJK,,,PPJK25G010,NERC Compliance
Environmental Compliance,75550,PPJK,,,PPJK25G011,Environmental Compliance
Facilities,75550,PPJK,,,PPJK25G012,Facilities
Information Technology,75550,PPJK,,,PPJK25G013,IT
Light & Heat,75550,PPJK,,,PPJK25G014,Light & Heat
Interconnection Fees,75550,PPJK,,,PPJK25G015,Interconnection Fees
Waste Management,75550,PPJK,,,PPJK25G016,Waste Management
Site Security,75550,PPJK,,,PPJK25G017,Site Security
IT: Telecoms,75550,PPJK,,,PPJK25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75550,PPJK,,,PPJK25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75550,PPJK,,,PPJK25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75550,PPJK,,,PPJK25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75550,PPJK,,,PPJK25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75550,PPJK,,,PPJK25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75550,PPJK,,,PPJK25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75550,PPJK,,,PPJK25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75550,PPJK,,,PPJK25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75551,BATL,,,BATL25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75551,BATL,,,BATL25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75551,BATL,,,BATL25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75551,BATL,,,BATL25B004,BoP: Vegetation Management 
BoP: Civil BoP,75551,BATL,,,BATL25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75551,BATL,,,BATL25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75551,BATL,,,BATL25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75551,BATL,,,BATL25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75551,BATL,,,BATL25G007,Ops Support: Site Specific
Issuance Fee,75551,BATL,,,BATL25G008,Issuance Fee
Community Benefit,75551,BATL,,,BATL25G009,Community Benefit
Environmental Compliance,75551,BATL,,,BATL25G011,Environmental Compliance
Facilities,75551,BATL,,,BATL25G012,Facilities
Information Technology,75551,BATL,,,BATL25G013,IT
Light & Heat,75551,BATL,,,BATL25G014,Light & Heat
Interconnection Fees,75551,BATL,,,BATL25G015,Interconnection Fees
Waste Management,75551,BATL,,,BATL25G016,Waste Management
Site Security,75551,BATL,,,BATL25G017,Site Security
IT: Telecoms,75551,BATL,,,BATL25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75551,BATL,,,BATL25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75551,BATL,,,BATL25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75551,BATL,,,BATL25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75551,BATL,,,BATL25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75551,BATL,,,BATL25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75551,BATL,,,BATL25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75551,BATL,,,BATL25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75551,BATL,,,BATL25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75552,SUNB,,,SUNB25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75552,SUNB,,,SUNB25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75552,SUNB,,,SUNB25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75552,SUNB,,,SUNB25B004,BoP: Vegetation Management 
BoP: Civil BoP,75552,SUNB,,,SUNB25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75552,SUNB,,,SUNB25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75552,SUNB,,,SUNB25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75552,SUNB,,,SUNB25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75552,SUNB,,,SUNB25G007,Ops Support: Site Specific
Issuance Fee,75552,SUNB,,,SUNB25G008,Issuance Fee
Community Benefit,75552,SUNB,,,SUNB25G009,Community Benefit
Environmental Compliance,75552,SUNB,,,SUNB25G011,Environmental Compliance
Facilities,75552,SUNB,,,SUNB25G012,Facilities
Information Technology,75552,SUNB,,,SUNB25G013,IT
Light & Heat,75552,SUNB,,,SUNB25G014,Light & Heat
Interconnection Fees,75552,SUNB,,,SUNB25G015,Interconnection Fees
Waste Management,75552,SUNB,,,SUNB25G016,Waste Management
Site Security,75552,SUNB,,,SUNB25G017,Site Security
IT: Telecoms,75552,SUNB,,,SUNB25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75552,SUNB,,,SUNB25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75552,SUNB,,,SUNB25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75552,SUNB,,,SUNB25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75552,SUNB,,,SUNB25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75552,SUNB,,,SUNB25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75552,SUNB,,,SUNB25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75552,SUNB,,,SUNB25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75552,SUNB,,,SUNB25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75553,CONE,,,CONE25B001,BoP: Elec BoP: Corrective
BoP: Elec BoP: Preventative,75553,CONE,,,CONE25B002,BoP: Elec BoP: Preventative
BoP: Met Mast/Met Station BoP,75553,CONE,,,CONE25B003,BoP: Met Mast/Met Station BoP
BoP: Vegetation Management ,75553,CONE,,,CONE25B004,BoP: Vegetation Management 
BoP: Civil BoP,75553,CONE,,,CONE25B005,BoP: Civil BoP
Preventative Mntce: Site Non-Tech,75553,CONE,,,CONE25G002,Preventative Mntce: Site Non-Tech
Solar O&M: Minor Corrective,75553,CONE,,,CONE25G005,Solar O&M: Minor Corrective
Preventative Mntce: Site ,75553,CONE,,,CONE25G006,Preventative Mntce: Site 
Ops Support: Site Specific,75553,CONE,,,CONE25G007,Ops Support: Site Specific
Issuance Fee,75553,CONE,,,CONE25G008,Issuance Fee
Community Benefit,75553,CONE,,,CONE25G009,Community Benefit
NERC Compliance,75553,CONE,,,CONE25G010,NERC Compliance
Environmental Compliance,75553,CONE,,,CONE25G011,Environmental Compliance
Facilities,75553,CONE,,,CONE25G012,Facilities
Information Technology,75553,CONE,,,CONE25G013,IT
Light & Heat,75553,CONE,,,CONE25G014,Light & Heat
Interconnection Fees,75553,CONE,,,CONE25G015,Interconnection Fees
Waste Management,75553,CONE,,,CONE25G016,Waste Management
Site Security,75553,CONE,,,CONE25G017,Site Security
IT: Telecoms,75553,CONE,,,CONE25G018,IT: Telecoms
Inverter O&M: Preventative Mntce,75553,CONE,,,CONE25I001,Inverter O&M: Preventative Mntce
Inverter O&M: Minor Corrective,75553,CONE,,,CONE25I002,Inverter O&M: Minor Corrective
Inverter O&M: Major Corrective,75553,CONE,,,CONE25I003,Inverter O&M: Major Corrective
Solar O&M: Major Corrective,75553,CONE,,,CONE25M007,Solar O&M: Major Corrective
Modules O&M: Preventative Mntce,75553,CONE,,,CONE25P001,Modules O&M: Preventative Mntce
Modules O&M: Minor Corrective,75553,CONE,,,CONE25P002,Modules O&M: Minor Corrective
Modules O&M: Major Corrective,75553,CONE,,,CONE25P003,Modules O&M: Major Corrective
Modules O&M: Panel Cleaning,75553,CONE,,,CONE25P004,Modules O&M: Panel Cleaning
BoP: Elec BoP: Corrective,75554,HERT,,,HERT25B001,BoP: Elec BoP: Corrective
